Place,Name,Club(s),Division,Country,License #
1,KOH Sean,Singapore Management University / Blade Club,,SGP,
2,TAN Kah Hong,Singapore Management University / Duxton Plain Fencing,,SGP,
3T,MARUQUEZ Kurt Rozat,University of Santo Tomas,,PHI,
3T,LIM Emmanuel,Singapore Polytechnic,,SGP,
5,LIM Jian Yang,National University of Singapore,,SGP,
6,TAN ivan,Hwa Chong Institution,,SGP,
7,LEO Trevor,Raffles Institution,,SGP,
8,CORTEZ Larco,University of Santo Tomas,,PHI,
9,TAN You Wen,Hwa Chong Institution,,SGP,
10,TOH Ryan,Hwa Chong Institution,,SGP,
11,TENG Aden,Temasek Polytechnic,,SGP,
12,ONG Shawn,Singapore Polytechnic,,SGP,
13,FU Lingyu,Hwa Chong Institution,,SGP,
14,TAN Caleb,Singapore Polytechnic,,SGP,
15,HO CHI HONG,University of Macau,,MAC,
16,YAP Zu Kai,Singapore Management University / Duxton Plain Fencing,,SGP,
17,FELICIANO Dean,University of Santo Tomas,,PHI,
18,LOH Kevin,Hwa Chong Institution,,SGP,
19,CHANTONG Trin,National University of Singapore,,SGP,
20,XU Ruojin,Raffles Institution,,SGP,
21,JIA Hong,Institute of Technicl Education College Central,,SGP,
22,IZZAT shabil,School N / Blade Club,,SGP,
23,ONG Chuan Hua,Singapore Polytechnic,,SGP,
24,MENON Reshav,School N,,SGP,
25,DEL ROSARIO Mark,University of Santo Tomas,,PHI,
26,CHAN Jordon,Singapore Polytechnic,,SGP,
27,LEE Nexus,Singapore Polytechnic,,SGP,
28,NG Jun Rui,Singapore Management University / Absolute Fencing,,SGP,
29,WEE Yimin Jerome,Raffles Institution,,SGP,
30,TAN Jin Teik Jared,Singapore Management University,,SGP,
31,MARZUKI Darren Rafael,Singapore Polytechnic,,SGP,
32,KA HENN Niu,Catholic Junior College,,SGP,
33,HO Wai Kit,Singapore Polytechnic,,SGP,
34,ESTEBAN Shiro,University of Santo Tomas,,PHI,
35T,NG Zhen Yang Ethan,Singapore Polytechnic,,SGP,
35T,KUNNAMPULLY Harish,Singapore Polytechnic,,SGP,
37T,VENKATARAMAN Smyan Varmin,Raffles Institution,,SGP,
37T,REYES Asher,Singapore Polytechnic,,SGP,
39,HSU Ethan,Raffles Institution,,SGP,
40,KOH Zheng Yong,Singapore Polytechnic,,SGP,
