Place,Name,Club(s),Division,Country,License #
1,CHAN Phu Xien,ASG,,SGP,
2,GOH Joshua Jie Kai,ABF / NJC,,SGP,
3T,WEI Josiah Kai Liang,SSP,,SGP,
3T,SOH Dickson,ASG,,SGP,
5,KOH Sean Elisha Tze Li,SMU,,SGP,
6,TAN Kah Hong,SMU / DPF,,SGP,
7,TAN Caleb,ABF,,SGP,
8,LEO Trevor,ABF / RI,,SGP,
9,TAN YU RUI RAYDEN,HCI,,SGP,
10,SONG HAORAN,HCI,,SGP,
11,ZHOU Kunlin,ABF,,SGP,
12,TENG Aden Yik Juan,ASG,,SGP,
13,TOH Ryan,ABF / HCJC,,SGP,
14,YAP Zu Kai,SMU / DPF,,SGP,
15,ZHAO Yikai,ABF,,SGP,
16,TAN Ivan,HCJC,,SGP,
17,FU Lingyu,ABF,,SGP,
18,MENON Reshav,BLD,,SGP,
19,AUW Ashton Sen Hon,SSP,,SGP,
20,TAN Oliver Teng Wee,SMU,,SGP,
21,KOH Shaun,NUS,,SGP,
22,QUEK Hong Jia,DPF,,SGP,
23,IZZAT Shabil,BLD,,SGP,
24,LIM Rayner Fang Yuh,NUS / DPF,,SGP,
25,K KESHVIN,FENCING MASTERS,,SGP,
26,NG Jun Rui,SMU / ABF,,SGP,
27,PHOA Wei Hong Andrew,NUS / DPF,,SGP,
28,TEO Guang Xiang,NTU,,SGP,
29T,ONG Chuan Hua,ASG,,SGP,
29T,FOONG Wayne,BLD / NP,,SGP,
31,CHANTONG Trin,NUS,,THA,
32,SEET Ji Wei Jurek,NTU,,SGP,
33,TAN ZIYUE,HCI,,SGP,
34,NIU Ka Henn,CJC / ASG,,SGP,
35,PANG Joseph Zhi Wei,NTU,,SGP,
36,TAN Zac Jun Hao,CCHY,,SGP,
37,YAN Li,HCJC,,SGP,
38,SOH Yee Hern,SP,,SGP,
