Place,Name,Club(s),Division,Country,License #
1,OOI SHANE JUN MING,ASGARD FENCING CLUB,,,
2,TAN CALEB,SINGAPORE POLYTECHNIC,,,
3T,SONG HAORAN,ASGARD FENCING CLUB,,,
3T,FENG ZIXUAN,HWA CHONG INSTITUTION,,,
5,TAN IVAN,HWA CHONG INSTITUTION,,,
6,GOH JOSHUA JIE KAI,ABSOLUTE FENCING,,,
7,MENON RESHAV,NGEE ANN POLYTECHNIC,,,
8,QUEK HONG JIA,DUXTON PLAIN FENCING,,,
9,CHAI JUN EN SHALOM,HWA CHONG INSTITUTION,,,
10,LEO TREVOR DONG,RAFFLES INSTITUTION,,,
11,LOH KEVIN,HWA CHONG INSTITUTION,,,
12,XU RUOJIN,RAFFLES INSTITUTION,,,
13,WONG WEI HONG,RAFFLES INSTITUTION,,,
14,TAN YU RUI RAYDEN,ASGARD FENCING CLUB,,,
15,NG ROY JUN CONG,ASGARD FENCING CLUB,,,
16,ZHAO YIKAI,ABSOLUTE FENCING,,,
17,MUHAMMAD SHABIL BIN MOHAMED SHAMIR IZZAT,NGEE ANN POLYTECHNIC,,,
18,YAN LI,HWA CHONG INSTITUTION,,,
19,NG ZHEN YING,NGEE ANN POLYTECHNIC,,,
20,CHE KADEN,BLADE CLUB,,,
21,WAN ZIHANG,RAFFLES INSTITUTION,,,
22,NG YAN KAI,HWA CHONG INSTITUTION,,,
23,TAN LUCAS,SINGAPORE POLYTECHNIC,,,
24,NG ZI HIEN RHYS,HWA CHONG INSTITUTION,,,
25,CHIA JIN SHUEN JEREMIAH,RAFFLES INSTITUTION,,,
26,TAN RAYMOS,RAFFLES INSTITUTION,,,
27,NG LUKE JUN MING,ASGARD FENCING CLUB,,,
28,TAN OLIVER,HWA CHONG INSTITUTION,,,
29,WU YANLIANG,ASGARD FENCING CLUB,,,
30,TAN JACOB JAE KIJB,ASGARD FENCING CLUB,,,
31,YONG LEONARD ZHENG SEE,ASGARD FENCING CLUB,,,
32,NIU KA HENN,ASGARD FENCING CLUB,,,
33,VENKATARAMAN SMYAN VARMIN,RAFFLES INSTITUTION,,,
34,TAN MELTON,HWA CHONG INSTITUTION,,,
35,FOONG WAYNE,NGEE ANN POLYTECHNIC,,,
36,ANGELO ROSHEN,NGEE ANN POLYTECHNIC,,,
37,BOO KYSER,SINGAPORE POLYTECHNIC,,,
38,TONI-WOO KEAVEN,NGEE ANN POLYTECHNIC,,,
39,LIANG YI KUAN,RAFFLES INSTITUTION,,,
40,HSU ETHAN JHIH CHENG,RAFFLES INSTITUTION,,,
41,BOO LUCAS,SINGAPORE POLYTECHNIC,,,
42,ANG QI ZHI,HWA CHONG INSTITUTION,,,
43,SINGH HARRNEIL,NGEE ANN POLYTECHNIC,,,
44,NG JING KAI,NGEE ANN POLYTECHNIC,,,
45,TENG ZI HUAN JOHN BOSCO,RAFFLES INSTITUTION,,,
