Place,Name,Club(s),Division,Country,License #
1,WU EVANNA,RAFFLES GIRLS' SCHOOL,,,
2,SERAPHINE TANYORY VELICIA,NGEE ANN POLYTECHNIC,,,
3T,ANG ALICIA,SINGAPORE POLYTECHNIC,,,
3T,YEO JAZLYN,SPORTIVA FENCING,,,
5,YAZID NUR NADIA BATRISYIA BTE,ASGARD FENCING CLUB,,,
6,TAN CLARAH,SINGAPORE POLYTECHNIC,,,
7,HE JINGYI,ABSOLUTE FENCING,,,
8,LEE REBECCA,HWA CHONG INSTITUTION,,,
9,TOK LIANG YING,ASGARD FENCING CLUB,,,
10,LIM JERICA,SPORTIVA FENCING,,,
11,TAN SZE QI,RAFFLES INSTITUTION,,,
12,CHONNG YI SIYUAN SUKI,BLADE CLUB,,,
13,AMIN AISYAH,ASGARD FENCING CLUB,,,
14,TANG JEWEL FANG YU,ASGARD FENCING CLUB,,,
15,NG ISABELLE XIN YI,SINGAPORE POLYTECHNIC,,,
16,MOK CHLOE,NGEE ANN POLYTECHNIC,,,
17,LOW YU XUAN CHLOE,RAFFLES INSTITUTION,,,
18,RAJARAM MIRDHINI SHRI,RAFFLES INSTITUTION,,,
19,LIM SEAH,NGEE ANN POLYTECHNIC,,,
20,TAN ERIS,HWA CHONG INSTITUTION,,,
21T,LIM NADINE WIELTER,RAFFLES INSTITUTION,,,
21T,YANG LIZE EMILY,RAFFLES INSTITUTION,,,
23,ANG AI GEN,NGEE ANN POLYTECHNIC,,,
